id,title,release_date,overview,vote_average,vote_count,popularity,original_language,adult
880918,One More Flip,2021-10-01,Demarco Beasley lands in jail after a drug deal gone wrong. He turns to his girlfriend as he has no one else to turn to.,4.0,1,0.2385,en,False
350566,Car Trouble,1986-02-28,"In the throes of a midlife crisis, a man buys a new Jaguar, and it immediately becomes his new love. What he doesn't know is that his wife is as attracted to the Jaguar salesman as he is to the car.",4.5,2,0.4853,en,False
157259,"Hello, Fred the Beard",1978-10-16,,6.8,13,0.1803,pl,False
243754,After Life,2008-01-17,"They play tough, masculine games, when the passion of hunting turns into a thirst for profit, paint into blood, fidelity into betrayal, when betting is friendship, and winning is life. One of the three old institute shareholding partners ""orders"" the fourth - the head of the Bank of Daniel.  But even the hired killer did not know about the explosives in the house. And so, after the explosion in the basement, there are three - the killer, the victim and his daughter. When there is almost no air left, and the search engines have already stopped working, Daniel’s mind starts a dangerous game: which of the worlds is fictional, and which one is the real one, the one in which you save your friends, or the one in which friends kill you ... Daniel solves the problem with three unknown ...",10.0,1,0.1926,ru,False
19401,The Case for Christ,2007-09-11,"Based upon the Gold-Medallion award-winning best-seller, The Case for Christ documents Lee Strobel's journey from atheism to faith through his two-year investigation of the Bible and the life of Jesus Christ.",5.4,5,0.2602,en,False
409969,Barrio,2006-01-01,"A failed footballer, a remote father and one man who becomes grandfather ... In a neighborhood of Mexico City, three mature men tell us little stories about their unfulfilled hopes, love and the passage of time.",5.0,3,0.0143,es,False
699282,"The $50,000,000 Cherry",1987-01-01,An heiress must retain her virginity or lose a fortune.,10.0,1,0.0,en,True
429806,Sweet Daddy,1921-12-11,"Perez plays a henpecked husband who is chained at the neck by his wife in the kitchen and when he tries to stand up for himself, she throws him out of the window where he is dangling for dear life.Once she sends him to the store, Tweedy becomes smitten by a stage actress and tries to woo her with great success until his wife shows up on the scene and all hell breaks loose with cartoon gags.",5.0,1,0.104,en,False
379081,"Pink, Plunk, Plink",1966-05-25,"The Pink Panther learns to play the violin, and interrupts a performance of Beethoven's Fifth Symphony with the Pink Panther Theme played on various instruments.",7.2,11,0.2981,en,False
162545,The Snowman,1985-03-22,"Dorn, a young adventurer and survivalist, is trying to sell 50,000 porn magazines in a flophouse in Malta when he is interrupted by the police. On the run, he finds a luggage storage ticket from Frankfurt Central Station. Together with his friend Lazlo, he sets out to retrieve the contents of the locker - 5 kilograms of pure cocaine. Dorn, who is completely out of his mind, does not hesitate for a second to turn the substance into money. In doing so, he completely overlooks the danger he is putting himself in. Two rival gangs are hunting him down and trying to seize the drugs with all their might.",6.0,7,0.1617,de,False
486078,Il vegetale,2018-01-18,"Fabio struggles with a cumbersome father and a capricious and spoiled little sister who consider him a good for nothing, a “vegetable” in fact. The unfortunate recent graduate looks for a job reacts to the contempt of his family and demanding employers, when an unexpected event remixes roles…",5.708,265,0.3713,it,False
440006,The Happy Couple,1975-10-27,"A comedy about life during the 1970's. A father refuses to accept his son marrying a girl from a different religion, thus leading to several comical situations.",8.0,2,0.08,sq,False
461151,Le chemin,2017-09-06,"Camille, a young lady who has joined a Catholic mission in Cambodia and is ready to take her vows, crosses paths along a river and the Angkor ruins with a Cambodian man, Sambath, on a regular basis.",3.8,2,0.1396,fr,False
482659,Snail House,2017-10-22,"Sofia leaves the city to a provincial town. There she meets Nico and the inhabitants of Casa Caracol, an alternative hostel in the middle of the jungle. Nodding party nights and brotherhood, Sofia falls in love with Nico and joins the ""magical"" village life.",3.7,7,0.2134,es,False
757815,All Is One. Except 0,2020-10-04,"In 1981, Wau Holland and other hackers established the Hamburg based Chaos Computer Club (CCC). The idiosyncratic freethinkers were inspired by Californian technology visionaries and committed themselves to hacker ethics. All information must be free. Use public data, protect private data. But not everyone followed the rules. Computer technology was still in its infancy and the emerging Internet became a projection screen for social utopias. What has become of them? The story of the German hackers, told by the protagonists themselves in a montage of found video and audio material.",6.773,11,0.1162,de,False
382663,Pavada,2016-01-15,"Joy a young man who leads a carefree life. Joy acquaintance Babu Joseph, an English professor, and they reminiscence some seemingly forgotten memories.",5.8,17,2.1586,ml,False
39860,Cat Fishin',1947-02-22,"Spike is guarding a private fishing hole - in his sleep. Tom sneaks in to do some fishing - with Jerry as bait. But one particularly vicious fish turns out to be more than Tom or Jerry bargained for, particularly when he wakes up Spike.",7.321,53,0.4735,en,False
237002,Tokyo Woes,1945-11-15,"Created for the US Navy in World War II. The Mr. Hook character was created by Hank Ketcham while at Walter Lantz Studios, where the first- and only color- Mr. Hook cartoon was produced. A wartime propaganda film about Japan and war bonds. The loudspeaker grille is in the shape of a peace sign as it shouts at Mr. Hook.",4.9,10,0.2575,en,False
151842,Ponnapuram Kotta,1974-01-23,"Ponnapuram Kotta is a 1973 Malayalam language film starring Prem Nazir, K. P. Ummer, Vijayasree and Vijayanirmala in the lead roles.",8.0,2,0.4394,ml,False
289232,The Goob,2014-09-25,"We’re in the middle of a heat-wave in Fenland England. Goob Taylor has spent each of his sixteen summers helping Mum run the transport cafe and harvest the surrounding beet fields. When Mum shacks up with swarthy stock-car supremo and ladies’ man gene Womack, Goob becomes an unwelcome side thought. However Goob’s world turns when exotic beet picker Eva arrives. Fuelled by her flirtatious comments, Goob dreams of better things.",6.2,36,0.5081,en,False
360140,Namo OK,2014-11-06,"After a lighting strike robs him of his memory, a mysterious stranger takes shelter in a small-town temple and embrace Buddhist ways.",7.7,3,0.1036,th,False
410695,Hamlet,2008-02-18,This film consists of 63 minutes and 1 second of white screen.,1.0,1,0.0071,en,False
327867,Ceiling,1962-03-15,"The young Marta has made a break in her medical education to fully invest in her career as a model. We follow her for a day in her life, almost completely without hearing her voice. It is seldom that Marta gets the space to speak, instead she is mostly subject to the voice of others.",5.333,9,0.3493,cs,False
251504,Fuckland,2000-09-20,"Fabián, a magician from Buenos Aires, saves his money from weddings, birthdays, and bar mitzvahs, and uses a hidden camera to document a week-long trip to the Falkland Islands where he has a patriotic plan: to impregnate a British woman. If 500 Argies do this annually, the islands will soon be overrun with children belonging to both cultures.",4.429,7,0.383,es,False
43544,Ma che colpa abbiamo noi,2003-01-10,Seven people in a therapy group are forced to find new ways of coping with their problems when their therapist dies in the middle of a session.,6.4,118,0.4551,it,False
798654,Wager of Love,1993-01-01,"Four women meet on a yacht to exchange stories about their sexual exploits of the past year. The onboard waiter is designated to be the judge of the best story; however, it turns out that his qualifications are tainted by a possible bias. But whose story will be declared the winner?",1.0,2,0.0364,en,False
78946,Arasangam,2008-03-09,A high voltage action movie about a man who goes to Canada to find out the reason behind his missing brother- in-law and stumbles upon an international terrorism plot against India's intellectuals.,5.0,1,0.1942,ta,False
192989,Flame of Araby,1951-12-18,"An Arabian-nights princess and a Bedouin chief contend over possession of a stallion, but unite to oppose the Corsair Lords.",6.1,7,0.5777,en,False
626142,Threesome Bondage Escapades,2019-05-29,A bad time for four distressed damsels tormented simultaneously by two masters or mistresses. In each of these four scenes a hot babe suffers bondage spanking and sexual use under the command of her Doms.,6.0,1,0.0,en,True
696247,What the Night Hides,1963-01-01,,9.0,1,0.1407,el,False
