id,title,release_date,overview,vote_average,vote_count,popularity,original_language,adult
566986,A Country More Beautiful Than Before,2018-12-05,"The wanderings of a retail trader, Jean-Simon, sketch the contours of a microcosmic informal economy in Congolese society.  The financial urgency of everyday life is permeated by the political situation in Congo: a larger, more abstract urgency, which the diaspora experiences from a distance. The film finds itself somewhere in between these two imperatives, between here and somewhere else, the past and the present, small money and big money.",9.0,1,0.0734,en,False
37416,Be Here to Love Me,2004-09-13,Chronicles the fascinating and often turbulent life of Townes Van Zandt.,7.3,21,0.4249,en,False
559734,Кто пасётся на лугу?,1973-01-01,,10.0,1,0.0515,ru,False
265582,Robert et Robert,1978-06-13,"Robert #1 is played by Charles Denner, while Robert #2 is played by Jacques Villeret. Beyond their common name, the two Roberts are as different as night and day. Oh, there is one more resemblance: both Roberts are lonely, and both hope to meet suitable mates through a computer dating service. As they await the arrival of their new dates, Robert et Robert become fast friends. Of the three favorite film subjects of writer/director Claude Lelouch--romance, crime, and politics--Robert et Robert falls firmly into the first category.",6.235,17,0.2758,fr,False
73806,Wouter Deprez: War,2008-03-30,"Een cabaretier die zijn voorstelling voor driekwart van zijn publiek laat afhangen, moet wel van goede huize komen, wil dat slagen. Of uit België. Wouter Deprez (spreek uit Depree) geeft zich in zijn voorstelling WAR helemaal over aan de interactie met het publiek - met succes.",5.2,2,0.1228,en,False
737641,Stone Locals - Rediscovering the Soul of Climbing,2020-08-28,"Climbing has always been more than just a sport. It’s provided a way of life and a makeshift family to misfits who share a calling. As the sport grapples with its growing popularity, the people who anchor its core and community have more responsibility than ever. This film tells the stories of five of these anchors, the Stone Locals who keep the soul of climbing and nurture it as the sport evolves.",8.0,1,0.1277,en,False
841087,Puño de lodo,1999-01-01,,5.0,1,0.0945,es,False
272747,Fragments of Conversations with Jean-Luc Godard,2007-08-05,"In his meetings with various different people, Jean-Luc Godard develops his thinking about history, politics, the cinema, images and time, and this will lead to his exhibition as an artist at the Pompidou Centre. Jean-Luc Godard’s conversations with Dominique Païni, Jean Narboni, André S. Labarthe, Jean-Marie Straub, Danielle Huillet and Christophe Kantcheff were filmed at his home in Rolle, in his study, at the Fresnoy National Studio for the Contemporary Arts (in front of students) and in the exhibition rooms of the Pompidou Centre.",7.5,2,0.0261,fr,False
409328,Delizia,1986-12-17,Italian fashion model living in New York decides to sell a villa located in the central Italian countryside and to make it back to their homeland.,4.4,5,0.4102,it,False
248808,Crisis Hotline: Veterans Press 1,2013-11-11,"According to the U.S. Department of Veterans Affairs, one veteran dies by suicide in America every 80 minutes. While only 1% of Americans has served in the military, former service members account for 20% of all suicides in the U.S. Based in Canandaigua, NY and open 24 hours a day, 365 days a year, the Veterans Crisis Line receives more than 22,000 calls each month from veterans of all conflicts who are struggling or contemplating suicide. This timely documentary spotlights the traumas endured by America’s veterans, as seen through the work of the hotline’s trained responders. CRISIS HOTLINE captures extremely private moments, where the professionals, many of whom are themselves veterans or veterans’ spouses, can often interrupt the thoughts and plans of suicidal callers to steer them out of crisis.",7.143,21,0.3147,en,False
921508,Father Knows Best,2007-01-01,"Frumpy, divorced father Doug is interrupted from a pleasant rest by a phone call from his daughter, calling from college. She wants to visit him and introduce him to someone...her fiancé, Stephen . Doug is surprised, but agrees. When the couple arrives, he is immediately taken by the handsome young man, and at dinner, Doug keeps fantasizing that Stephen is coming on to him. Some small talk about fishing encourages his daughter to suggest a fishing trip between the two men, and Doug reluctantly agrees. Later that night, Doug catches a glimpse of Stephen jacking off in the bathroom. This leads him to indulge in a fantasy about two men having sex. They chide him about repressing his homosexual urges.",5.5,1,0.0,en,True
19311,$9.99,2009-04-29,"Have you ever wondered ""What is the meaning of life? Why do we exist?"" The answer to this vexing question is now within your reach! You'll find it in a small yet amazing booklet, which will explain, in easy to follow, simple terms your reason for being! The booklet, printed on the finest paper, contains illuminating, exquisite colour pictures, and could be yours for a mere $9.99.",5.932,96,0.3959,en,False
100191,Beyond the Seventh Door,1987-06-28,"Boris, an ex-con thief, is persuaded by his girlfriend to pull one last heist, breaking into her paraplegic, millionaire boss' sprawling, castle-like mansion. But once inside, they become trapped in a maze-like series of escape rooms which must be solved in order to stay alive.",5.0,7,0.3404,en,False
233469,The Prodigy Live at Brixton Academy,2006-01-01,The Prodigy Live at Brixton Academy 1997,5.2,2,0.1372,en,False
249526,Super Bowl XXXIX Champions: New England Patriots,2005-03-01,"In 2004, the Patriots won their first six games to set the NFL record for most consecutive victories, with 21. The streak was snapped at Pittsburgh in week 8 and in the game, New England lost for the season perennial Pro Bowl corner back Ty Law. With Troy Brown playing receiver and defensive back, New England would win all but one of their remaining games to complete one of the most dominating runs of all time.  The Patriots once again proved their superiority in Super Bowl XXXIX with a 24-21 victory over the Philadelphia Eagles. By winning their 3rd title in 4 years, the new England Patriots have solidified their place in National Football League history as one of the game's great dynasties.",10.0,1,0.0388,en,False
587560,True Anal Training 2,2019-03-04,"Dirty-talking sphincter sluts enjoy hard sodomy in True Anal Training 2. Mike Adriano leads the girls through oiled-up buttfucking complete with intense rectal gaping, drooling ass-to-mouth blowjobs and steaming anal creampies.",8.0,2,0.0,en,True
