id,title,release_date,overview,vote_average,vote_count,popularity,original_language
83177,WEC 32: New Mexico,2008-02-13,"WEC 32: New Mexico was a mixed martial arts (MMA) event held by World Extreme Cagefighting (WEC) that took place on Wednesday, February 13, 2008. For the first time under Zuffa ownership, the show was held in Rio Rancho, New Mexico and not the usual spot of Las Vegas, Nevada. The event drew an estimated 268,000 viewers on Versus, a record low for the WEC.",4.8,2,0.0331,en
787638,In Concert at The Hollywood Bowl: Musicals and the Movies,2020-09-09,"Dive into the love affair between Hollywood and Broadway in this episode celebrating classic songs from Broadway musicals and classic cinema. Enjoy selections from Leonard Bernstein’s love letter to New York City, ""On the Town,"" performed by Sutton Foster and Brian Stokes Mitchell.",10.0,1,0.139,en
850451,Every 9 Hours,2019-05-31,"From acclaimed novelist Jim St. Germain (A Stone of Hope), a modern-day exploration of skin color and gender and how they affect one's ability to participate in relationships and society.",7.0,1,0.3149,en
43428,Time for Revenge,1981-07-30,Two coworkers decide to blackmail the corrupt demolition company they work for by setting up a fake accident.,7.4,34,0.237,es
429000,Chvrches – Pitchfork Music Festival 2015,2015-09-25,"Chvrches  Pitchfork Music Festival  Green Stage  Union Park  Chicago, Illinois  July 17, 2015  HD Webcast captured by Indykid  PRO-SHOT, PAL, 16/9  Authored with DVD Studio Pro by kigonjiro  56.05 Minutes",8.0,1,0.0,en
716141,Japanese Borscht,2019-07-30,Davis Loses his Girl and step daughter to gangster Brother n Law but gets unlikely help from the Phantom of the Opera and his newly found Yakuza family MICHAEL Musto stars in this cult classic remake of a film made in 2006 on a vacation camera,3.5,2,0.3221,en
428349,Taxi Ballad,2012-03-08,A taxi driver new to Beirut forms an unlikely bond with a bored American Pilates instructor who loves hearing him tell stories about his past.,2.0,1,0.0529,ar
947891,My Old Ass,2024-09-13,"An 18th birthday mushroom trip brings free-spirited Elliott face-to-face with her wisecracking 39-year-old self. But when Elliott’s ""old ass"" starts handing out warnings about what her younger self should and shouldn't do, Elliott realizes she has to rethink everything about family, love, and what's becoming a transformative summer.",6.9,303,13.7363,en
187118,O.H.M.S.,1937-01-01,"American racketeer Jimmie Dean travels to England, where he assumes the identity of a Canadian whom he has been falsely accused of murdering. Jimmie is then forced to join the British army in the dead man's place. He falls in love with the Canadian's childhood playmate, Sally Briggs, and becomes a hero after saving an isolated English colony in China.",3.5,2,0.2417,en
121105,Double Platinum,1999-05-16,The story of a mother driven to reach the heights of superstardom at the cost of abandoning her only child.,8.0,15,0.4529,en
721020,Dia Branco,2014-01-30,,4.0,2,0.0453,pt
