id,title,release_date,overview,vote_average,vote_count,popularity,original_language,adult
535086,"The Birth of ""Princess Mononoke"" Part 2: Life Has Been Breathed Into It!",1997-02-04,"Part 2 of Mononoke Hime wa koushite umareta, also known as The Making of ""Princess Mononoke"", an exhaustive three-part making of documentary of Hayao Miyazaki's Princess Mononoke",10.0,1,0.427,ja,False
355539,El Gran Viaje - 1) Los últimos indígenas de Europa,2011-12-30,,10.0,1,0.0453,es,False
60632,The Unborn II,1994-04-20,"A sinister fertility experiment has created a generation of twisted children. A relentless woman has made it her business to destroy these mutant babies before they destroy the world! One mother and her only friend are torn between love an repulsion of this deformed being and are ready to fight for it's survival, but this baby doesn't need love. It's been programmed to survive at any cost.",4.1,14,0.4848,en,False
363416,Bumper Draw,2015-10-16,"Sunderlal and Farooq who befriend each other in a strange situation. After which, they both encounter Pestonji, an old Parsi man who adds to their existing list of problems.",7.0,2,0.1068,hi,False
445680,Brainiac,2004-01-01,"Brain chemistry research has produced a drug - Nirvana - that can wipe out addiction and mental illness by stimulating pleasure centers in the brain and flooding the brain with endorphins. PsyMax Labs is about to release Nirvana, but suddenly something goes badly wrong. Nirvana causes drastic genetic changes, switching on dormant genes to produce BRAINIAC, a creature whose need for the brain's pleasure chemicals causes it to begin eating human brains.",5.0,2,0.1166,en,False
321508,No Place for Fools,2015-01-24,"Sergey Astahov is a gay man converted by Church and state propaganda into an orthodox pro-Putin activist. Composed of terrifying images from Astahov's blog, this documentary by contemporary artist Oleg Mavromatti is the most radical insight into today's Russia and its ideological clashes.",6.2,4,0.1858,ru,False
432171,Ein Traum von Hochzeit,1997-01-01,,8.0,1,0.0,de,False
295049,"Nativity 3: Dude, Where's My Donkey?!",2014-11-14,"This Christmas the pupils of St Bernadette's and their much-loved, madcap teacher Mr. Poppy are back for their biggest adventure yet involving fantastic flashmobs, excitable elves, Christmas carols and of course Archie the donkey! When their new teacher Mr. Shepherd loses his memory and forgets all about Christmas, as well as his fiancée Sophie and the whereabouts of the beloved Archie, it's up to the pupils of St Bernadette's to save the day. Led by the ever enthusiastic Mr Poppy, they embark on a Christmas journey like never before - but time is against them if they are to help Mr Shepherd get to New York in time for his magical yuletide wedding!",4.5,53,0.3931,en,False
86408,Listen to Me,1989-05-05,"It was the best time of their lives. A kid from Oklahoma. An immigrant's daughter. A senator's son, a society girl, and a college professor with a dream. They had one thing in common...the will to win. A group of college debaters learn about the world, friendships, love, dreams and family.",5.3,21,0.9666,en,False
468292,Ugly Nasty People,2017-10-19,"A group of physically disabled lowlifes plans the the perfect heist, but things go south as each reveals an agenda of their own.",5.8,168,0.5865,it,False
