id,title,release_date,overview,vote_average,vote_count,popularity,original_language,adult
261508,The Tiger from Tjampa,1953-01-01,"Set in the 1930s, and narrated like a ballad from the past, ""The Tiger from Tjampa"" tells of how a young man, Lukman, seeks to avenge his father’s murder by learning pencak silat, a traditional form of self defence, based on the movements of animals.",5.0,3,0.234,id,False
542699,Para Sonia,2015-03-04,,9.0,1,0.204,es,False
301996,The Other Pompeii: Life & Death in Herculaneum,2013-04-01,"The subject of this documentary is a straightforward one: presenter Andrew Wallace-Hadrill introduces us to the treasures of Herculaneum, the city close to Pompeii that suffered a similar fate as a result of the eruption of Mount Vesuvius, but which was covered under a far thicker layer of lava and other materials.",5.5,2,0.2499,en,False
187978,American Made Movie,2013-08-30,"American Made Movie looks back on the glory days of U.S. manufacturing when there was a more balanced relationship between the goods produced and consumed, and illustrates how technology and globalization have changed the competitive landscape for companies doing business in America, as well as overseas. By illustrating the successes of companies and entrepreneurs that, of their own accord, have prospered without adopting the practices of their competitors, American Made Movie shows the positive impact these jobs can have on national and local economies in the face of great challenges.",6.2,3,0.1575,en,False
323693,Outerborough,2005-04-19,"In 1899, a photographer at American Mutoscope & Biograph mounted his camera on the front of a trolley traveling over the Brooklyn Bridge. The three 90-foot rolls he created were edited together to complete the journey from Manhattan to Brooklyn, entitled Across the Brooklyn Bridge. As a commission by the Museum of Modern Art for the re-opening of their facility, American avant-garde filmmaker Bill Morrison took this remarkable footage and recombined it with itself to form a new split-screen extrapolation.",6.6,5,0.0623,en,False
238768,Les Déferlantes,2013-09-12,"Holed up in a small Normandy town, Louise hides from her ghosts as she looks after grumpy old Theo, the retired lighthouse keeper who shares her passion for ornithology. As she wanders the twisted shores, observing birds and people alike, Louise also keeps track of old Florelle, another broken soul who searches the beaches, seemingly waiting for the crashing waves to return something to her. Observing the locals' reactions to Lambert's return, the heir of a family lost at sea, Louise is intrigued by his past but, at the same time, attracted to him. As their relationship deepens, they start to unravel the web of secrets that have haunted the small village for decades. Together, they struggle to uncover the truth that could set them both free.",5.1,4,0.2462,fr,False
452103,The Game Changer,2017-02-10,"Two escaped prisoners join one of the most powerful gangs in Shanghai, the Green Gang, as the right-hand men of the head boss Mr. Tang. When Mr. Tang tries to gain total control over business dealings in Shanghai, he discovers his closest allies are not who they seem and turns against his own men to protect his power.",5.9,8,0.6036,zh,False
485200,Multiplex 10,2018-10-26,"MULTIPLEX 10 centers around the lives of the movie-loving and customer-weary staff of the Multiplex 10 Cinemas. Kurt is an usher, pining for that special someone to share his love of horror movies. The newest hire, Jason, is a film snob who just needs a freakin’ job, okay? Jeez. Despite their differences, the pair will make fast friends — unless they kill each other first.",5.0,1,0.1351,en,False
768953,Silence of the Tides,2020-11-22,The passage of time is spellbinding in this cinematic tour de force about the Wadden Sea. A film that inhales and exhales along with the tides as it explores the fragile relationship between man and nature.,6.0,4,0.1366,nl,False
99734,Madness in Bloom,2002-10-19,"Yamaguchi, Ichikawa and Kosuge dress in white military-style uniforms to ""clean"" the streets of Shibuya from bad elements.  After rightist gang boss, Aota takes an interest in the three, the boys gradually become influenced by him, but start to go their different ways.",6.0,2,0.5023,ja,False
63293,Three Poplars on Plyuschikha Street,1968-04-29,A married woman fresh from the countryside meets a charming cab driver on her first day in Moscow. They spend the day together and their fondness for each other grows...,7.194,36,0.1566,ru,False
409730,The Execution of the Traitor to the Homeland Ernst S.,1976-09-26,"During World War II 17 men were put to death by Swiss bureaucracy. The reconstruction of the case of Ernst S. fueled a controversy about collective guilt, double standards and the role of Switzerland in the war.",6.8,6,0.0493,de,False
566705,Storybook Friends: A Little Christmas Magic,1998-11-12,Hallmark presents a short story where the children get lost and with a wish they find their way home in the storm.,6.0,4,0.2019,en,False
51867,Boss Engira Baskaran,2010-09-10,"Bhaskaran is in love with a young and beautiful professor, Chandrika. In order to catch her attention and start a successful career, he along with his friend, Nallathambi, get up to various antics leading to hilarious consequences.",6.591,33,1.4666,ta,False
954448,Barrier Device,2002-05-11,A Korean-American researcher for a female condom study loses all objectivity when she realizes that one of her subject is dating her ex and begins to pursue a friendship with the subject.,6.0,2,0.1143,en,False
319761,Angel in a Devil's Body,1984-02-01,,4.8,4,0.3324,cs,False
912506,Quarantine,2021-10-04,"The main character of the film writes a diary. For over 20 years he has lived in a bunker and has not ventured outside. His only companions are ghosts of the past. He tries to find an explanation for the fateful course of events, which has destroyed the whole earth. The feeling of guilt does not leave him, as he believes that he could have prevented the apocalypse and the death of his beloved.",9.0,4,0.2988,ru,False
603222,Time to Kill,2018-02-23,"A couple of friends on their way to a rock festival pick up two hitchhiking girls going to the same event, but their trip is ruined due to an unexpected car breakdown. Now, this group of travelers find themselves in the creepy and dilapidated shanty town of Sant Martí, and all hell is about to break loose.",2.4,8,0.1466,ca,False
328291,Crossroads,2013-10-25,"Benjamin is a young poet from Turkey, works in Bosnia as a volunteer to help the extrication of dead bodies from the mass graves. He comes to Bosnia in order to escape from his past. A childish game of Benjamin causes Joseph's lover-Zeliha's dead. The psychological pressure of his job revives his past in his dreams. Zrinka is Serbian-Bosnian psychologist who is helping to the people in post war syndromes.Benjamin meets her committing suicide on Mostar Bridge.By the time they fall in love. She releases Benjamin from his qualms of conscience. Benjamin goes back to Turkey to face with his brother and past. Zrinka saw a dream something bad happened to Benjamin. She goes to Turkey but she finds secrets and new description of love.",4.9,5,0.2217,tr,False
803737,Who We Are: A Chronicle of Racism in America,2022-01-14,"Jeffery Robinson's talk on the history of U.S. anti-Black racism, with archival footage and interviews.",7.8,11,1.2493,en,False
638224,"The Tank and the Olive Tree, Another History of Palestine",2019-11-06,"The Tank and The Olive Tree recalls a certain number of forgotten fundamentals and sheds new light on the history of Palestine. By combining geopolitical analysis, interviews with international personalities who are experts on the subject and testimonies from Palestinian and French citizens, this documentary offers the keys to understanding what the media call the Israeli-Palestinian conflict. Enough to rid people's minds of clichés and prejudices! If The Chariot and the Olivier is intended to be educational, it speaks above all of a magnificent territory, and of a people who constantly affirm that “to live is already to resist”...",7.9,6,0.1772,fr,False
378984,Deadbeats,1996-07-01,A former thief enters the equally grimy world of debt collection.,5.5,2,0.1637,en,False
82807,The Scarlet Blade,1963-09-01,"A cruel Roundhead Colonel is on the trail of royalist sympathizers, but unaware of his daughters royalist sympathies. When she falls into a love triangle with Cavalier Edward Beverly and Roundhead officer Captain Sylvester the stage is set for double crossing and derring-do.",5.4,19,0.426,en,False
594975,Two Furnaces for Udarnik Josip Trojko,2012-01-01,"Two Furnaces for Udarnik Josip Trojko follows the disassembling of the  famous Siemens-Martin furnace, which once stood at the heart of the huge  Yugoslavian iron industry. As we watch the old making way for the new, we  hear off-camera archive recordings of political speeches, full of enthusiasm  and ideological optimism, from the period when the old furnace was in  operation.",7.5,1,0.0552,hr,False
141419,Arnulf Rainer,1960-05-01,"An experimental film, the last in Peter Kubelka's trilogy of “metric films”. Each frame of Arnulf Rainer is composed of darkness or light and silence or sound.",4.5,52,0.0977,de,False
620804,Girls Love,2009-02-07,,1.0,1,0.1459,ja,False
76612,The Fortune Buddies,2011-08-11,"Lam Luk (Cho-lam Wong), Jit Sau (Johnson Lee), Fook Cheung (Louis Yuen) are three unemployed friends who come together to help Lam Luk get married. After Lam Luk proposed to his girlfriend (Fiona Sit), his future father-in-law (Eric Tsang) stipulated that he will allow the marriage only if Lam Luk can come up with $500,000 for the downpayment of their future apartment. The three friends must now do everything they can to come up with the money ….",5.2,5,1.0721,cn,False
690108,"His Wife, the Unknown",1923-10-19,"A war blind painter marries his nurse. But after he can see again through an operation, he does not recognize her. Then she decides to leave him in order to return to his service under a different name. Only when the painter falls in love with her as a stranger to him,  she reveal herself.",5.2,2,0.1402,xx,False
817044,The ARK,2022-03-25,"Parked outside a remote hotel somewhere in England, Herbert and Jacinda are meeting for the first time. Both of them know what the mission is: kill the woman in Room 29. But are they about to administer justice or commit coldblooded murder? Only one of them knows the truth.",3.3,3,0.1419,en,False
685404,WWI: The Tunnels of Death,2018-03-01,,5.0,1,0.0071,en,False
429954,Rosso Malpelo,2007-11-19,A look at the difficult living conditions in two small mining villages in Bolivia as seen through the eyes of the young children who are forced to work there.,9.0,1,0.2099,it,False
73545,Ilf and Petrov Rode in the Tram,1972-08-19,"The film tells about the life of the Soviet country in the 30s of the twentieth century, based on the feuilletons and notebooks of famous writers Ilya Ilf and Eugene Petrov…",4.0,3,0.7413,ru,False
518447,A to B Rollerski,2017-05-04,"A documentary film revealing the incredible and unique journey of the Latvia-born adventurer and Olympic biathlete Raimonds Dombrovskis back in 1988 as he roller-skis 4,200 miles (6,759 km) from Inuvik (The Arctic, Canada) to Baja (Mexico) in 90 days. He uses his rollerski trip as a way to protest against the Soviet regime and to explain to everyone he meets that somewhere on the map there is a small nation that has its own language and craves freedom.",7.0,2,0.1033,lv,False
